Year,Load,Flow Normalized,Flow Normalized - Lower 90,Flow Normalized - Upper 90
1980,38.71,66,52.73571625,76.01772608
1981,23.76,66,53.51396104,75.61880713
1982,73.39,66,53.41672796,75.0937876
1983,106.91,66.4,52.9470415,75.39460915
1984,87.4,67.5,54.73105677,77.76831233
1985,27.66,68,56.12835614,77.9816251
1986,69.42,68.5,55.10462337,78.43485184
1987,47.62,67,54.24764522,76.80103456
1988,16.9,64.3,51.94738205,72.57680348
1989,3.68,62.4,50.06684812,69.59739334
1990,50.46,61.7,47.98421886,67.75702053
1991,74.26,62.4,48.72668246,69.34756249
1992,64.33,63.1,50.8417696,70.68290437
1993,176.62,63.3,53.31924604,71.39160273
1994,43.94,62.7,52.11268558,70.49682821
1995,58.65,62,51.0466708,70.26363207
1996,37.46,61.7,50.72241408,69.43838986
1997,47.7,62.2,51.85052488,69.8106725
1998,74.64,63.9,53.58907706,71.15060741
1999,99.29,66,56.13837135,72.89926352
2000,31.83,67.9,58.39167324,75.12178431
2001,73.22,69.6,61.13830077,75.96831781
2002,26.52,69.9,63.19005193,76.59437064
2003,30.44,67.4,59.99770829,73.53728766
2004,54.07,64.5,55.64658509,70.54800448
2005,38.97,62.6,54.05134758,68.57641841
2006,30.01,61.1,53.17337713,68.13243538
2007,72.42,59.6,51.91431102,65.70934753
2008,118.74,57.9,51.04086374,62.59929945
2009,68,56.1,49.82266708,60.60210713
2010,105.48,54.8,49.18687563,58.70494844
2011,60.54,54.6,49.47326169,58.18773757
2012,15.61,55.5,51.17252782,60.05942261
2013,73.43,56.2,52.8319203,61.01804937
2014,52.6,55.8,51.50909829,60.16921147
2015,51.58,55.5,49.72901357,59.65851977
2016,81.84,55.5,48.12527484,59.66997388
2017,68.45,55.6,46.6746792,60.06836115
2018,61.71,55.6,45.30963551,60.96021929
2019,99.55,55.6,43.9065194,61.82110768
