Year,Load,Flow Normalized,Flow Normalized - Lower 90,Flow Normalized - Upper 90
1980,60.9,99.3,81.40624814,140.9712153
1981,110.7,99.7,82.86993385,135.159674
1982,123.6,100.5,85.52306378,130.6634499
1983,138.3,101.7,87.28665901,126.9871742
1984,108.7,103.1,87.59425427,123.5648778
1985,97.1,103.8,87.54131841,123.6035189
1986,94.8,102.9,84.8283335,122.4688751
1987,71.4,100.1,80.90289321,119.9871394
1988,59.3,100.9,81.34712998,129.002192
1989,36.2,101.2,84.10473572,132.1078853
1990,104.5,105.5,87.15054303,142.6313113
1991,148.4,113.8,94.21547796,161.773243
1992,80.1,115.9,91.79944918,162.6349143
1993,203.2,117.4,95.55919437,152.1385977
1994,132.8,118.4,101.9800597,142.1691999
1995,138.9,118.9,105.8101842,134.4179317
1996,91.5,119.8,109.5539463,131.0617143
1997,97.3,120.1,109.1811372,127.0863992
1998,156.6,120.9,110.1512896,125.9903572
1999,119.1,125.1,115.6032558,129.920587
2000,48.4,129,120.0641683,134.2238509
2001,114.3,131.7,125.1730588,137.4412317
2002,147.9,131.4,124.8774779,139.8307292
2003,47.4,125.8,115.5206024,135.6805881
2004,86,118.3,108.9696529,126.8625851
2005,102.2,113.3,103.2006187,121.4422973
2006,49.4,109.8,99.06006362,116.9417663
2007,119.5,105.9,96.23306594,114.1098366
2008,129.7,101.1,90.3741163,108.7221632
2009,166,96.6,86.59593155,103.4601734
2010,147.1,93.3,84.69233548,100.6801752
2011,109.4,91.7,84.28500809,96.72047683
2012,38.1,91.9,85.00298486,96.19628414
2013,109.1,92.5,86.31013648,97.41202811
2014,83.6,93.2,87.3809942,99.13769595
2015,106.5,93.8,87.31834642,100.8658902
2016,105,94.6,87.7117031,102.802319
2017,109.5,95.3,87.94091888,105.1645156
2018,79.7,96.1,88.46777817,108.071641
2019,170.7,96.9,88.31335709,111.0400051
